"","year","percentile","income_family"
"1",1963,"10th",13286.1409753008
"2",1963,"50th",47025.5300823306
"3",1963,"90th",95267.5191893604
"4",1965,"10th",14783.2428119063
"5",1965,"50th",50989.2271057632
"6",1965,"90th",101564.123369221
"7",1966,"10th",16241.5649145029
"8",1966,"50th",53898.7276757442
"9",1966,"90th",107761.737175428
"10",1967,"10th",16201.764661178
"11",1967,"50th",55282.5518682711
"12",1967,"90th",108264.853198227
"13",1968,"10th",17703.9690943635
"14",1968,"50th",57354.2060797974
"15",1968,"90th",113451.132362255
"16",1970,"10th",17354.9514882837
"17",1970,"50th",59243.1873337556
"18",1970,"90th",119518.11969601
"19",1971,"10th",17251.8790373654
"20",1971,"50th",58370.6433185561
"21",1971,"90th",119040.516656111
"22",1972,"10th",17452.9213426219
"23",1972,"50th",61139.3122229259
"24",1972,"90th",126052.504876504
"25",1973,"10th",18224.4339455352
"26",1973,"50th",62842.558961368
"27",1973,"90th",128828.317416086
"28",1974,"10th",17178.4016466118
"29",1974,"50th",59769.7753008233
"30",1974,"90th",124306.396326789
"31",1975,"10th",16621.1981000633
"32",1975,"50th",58337.9867004433
"33",1975,"90th",121104.00671311
"34",1976,"10th",16924.2923369221
"35",1976,"50th",60048.3770740975
"36",1976,"90th",124442.12539582
"37",1977,"10th",16739.578340722
"38",1977,"50th",60137.1622545915
"39",1977,"90th",127283.251171628
"40",1978,"10th",16750.8040531982
"41",1978,"50th",61109.7171627613
"42",1978,"90th",129905.985813806
"43",1979,"10th",16079.3023432552
"44",1979,"50th",60711.7146295124
"45",1979,"90th",130791.796580114
"46",1980,"10th",15109.8089930336
"47",1980,"50th",56744.9560481317
"48",1980,"90th",124500.294996833
"49",1981,"10th",14557.7080430652
"50",1981,"50th",55119.2687777074
"51",1981,"90th",122635.80620646
"52",1982,"10th",13907.6372387587
"53",1982,"50th",54034.4567447752
"54",1982,"90th",123162.394173528
"55",1983,"10th",13802.5237492084
"56",1983,"50th",54637.5836605447
"57",1983,"90th",125333.038758708
"58",1984,"10th",14047.4483850538
"59",1984,"50th",56641.8835972134
"60",1984,"90th",131066.316276124
"61",1985,"10th",14345.4400253325
"62",1985,"50th",57247.051551615
"63",1985,"90th",132795.075997467
"64",1986,"10th",14440.3483217226
"65",1986,"50th",59692.2158328056
"66",1986,"90th",138455.896643445
"67",1987,"10th",14561.7901203293
"68",1987,"50th",60665.7912602913
"69",1987,"90th",141712.373780874
"70",1988,"10th",14602.6108929702
"71",1988,"50th",60210.6396453452
"72",1988,"90th",143026.802659911
"73",1989,"10th",15272.0715642812
"74",1989,"50th",61070.9374287524
"75",1989,"90th",145968.959848005
"76",1990,"10th",14681.190880304
"77",1990,"50th",59534.0353388221
"78",1990,"90th",142212.428245725
"79",1991,"10th",13940.2938568714
"80",1991,"50th",57524.6328055732
"81",1991,"90th",139503.969981001
"82",1992,"10th",13552.4965167828
"83",1992,"50th",57594.0281190627
"84",1992,"90th",139979.531982267
"85",1993,"10th",13235.1150094997
"86",1993,"50th",56067.3312222926
"87",1993,"90th",142460.414439519
"88",1994,"10th",13737.2105129829
"89",1994,"50th",57394.0063331222
"90",1994,"90th",146042.437238759
"91",1995,"10th",14491.3742875238
"92",1995,"50th",58264.5093096897
"93",1995,"90th",146475.137428752
"94",1996,"10th",14156.6439518683
"95",1996,"50th",59227.8795440152
"96",1996,"90th",148677.41811273
"97",1997,"10th",14749.5656744775
"98",1997,"50th",60410.6614312856
"99",1997,"90th",153551.418366054
"100",1998,"10th",15038.372640912
"101",1998,"50th",62480.2746041799
"102",1998,"90th",158359.084863838
"103",1999,"10th",15782.3312222926
"104",1999,"50th",64018.1972134262
"105",1999,"90th",164279.117416086
"106",2000,"10th",16491.5921469284
"107",2000,"50th",64784.6072197594
"108",2000,"90th",166194.632172261
"109",2001,"10th",15678.2382520583
"110",2001,"50th",63437.5217226093
"111",2001,"90th",164840.403039899
"112",2002,"10th",15434.3341355288
"113",2002,"50th",62934.40569981
"114",2002,"90th",163795.391260291
"115",2003,"10th",14816.919949335
"116",2003,"50th",62528.2390120329
"117",2003,"90th",166360.976820773
"118",2004,"10th",14727.114249525
"119",2004,"50th",62663.968081064
"120",2004,"90th",165608.854084864
"121",2005,"10th",14703.6423052565
"122",2005,"50th",62238.4115262825
"123",2005,"90th",166152.790880304
"124",2006,"10th",15170.0196326789
"125",2006,"50th",62568.0392653578
"126",2006,"90th",171475.819632679
"127",2007,"10th",15004.6955034832
"128",2007,"50th",63482.4245725143
"129",2007,"90th",168631.632298923
"130",2008,"10th",14283.1883470551
"131",2008,"50th",60989.2958834706
"132",2008,"90th",164756.720455985
"133",2009,"10th",13420.8495250158
"134",2009,"50th",59617.7179227359
"135",2009,"90th",165469.042938569
"136",2010,"10th",13077.9550348322
"137",2010,"50th",58514.5365421153
"138",2010,"90th",162471.77770741
"139",2011,"10th",12674.8499050032
"140",2011,"50th",57036.8245725143
"141",2011,"90th",159997.018366054
"142",2012,"10th",12674.8499050032
"143",2012,"50th",56983.7575680811
"144",2012,"90th",160463.395693477
"145",2013,"10th",13216.7456618113
"146",2013,"50th",58140.0059531349
"147",2013,"90th",162264.612286257
"148",2014,"10th",13029.9906269791
"149",2014,"50th",59551.3841671944
"150",2014,"90th",170318.550728309
"151",2015,"10th",14052.5509816339
"152",2015,"50th",62396.592020266
"153",2015,"90th",175716.077390754
"154",2016,"10th",14458.717669411
"155",2016,"50th",64959.1160227993
"156",2016,"90th",182826.035465485
