"","year","race","retirement"
"1",1989,"White",32649.43
"2",1989,"Black",5954.398
"3",1989,"Hispanic",7121.722
"4",1992,"White",36637.76
"5",1992,"Black",7798.197
"6",1992,"Hispanic",5248.894
"7",1995,"White",47702.19
"8",1995,"Black",9930.388
"9",1995,"Hispanic",19817.64
"10",1998,"White",64303.56
"11",1998,"Black",16252.23
"12",1998,"Hispanic",14610.48
"13",2001,"White",91828.2
"14",2001,"Black",17565.83
"15",2001,"Hispanic",17314.47
"16",2004,"White",98172.39
"17",2004,"Black",25085.81
"18",2004,"Hispanic",12732.21
"19",2007,"White",114264.6
"20",2007,"Black",29364.69
"21",2007,"Hispanic",23178.79
"22",2010,"White",124496.6
"23",2010,"Black",19290.86
"24",2010,"Hispanic",20058.13
"25",2013,"White",138557.5
"26",2013,"Black",20440.14
"27",2013,"Hispanic",10264.48
"28",2016,"White",157884.2
"29",2016,"Black",25211.85
"30",2016,"Hispanic",28581.12
